result_position,endpoint_pair,edge_count
551,Al-Si,96
552,Al-Si,96
553,Al-Si,96
554,Al-Si,96
555,Al-Si,96
556,Al-Si,96
557,Al-Si,96
558,Al-Si,96
559,Al-Si,96
560,Al-Si,96
561,Al-Si,96
562,Al-Si,96
563,Al-Si,96
564,Al-Si,96
565,Al-Si,96
566,Al-Si,96
567,Al-Si,96
568,Al-Si,96
569,Al-Si,96
570,Al-Si,96
571,Al-Si,96
572,Al-Si,96
573,Al-Si,96
574,Al-Si,96
575,Al-Si,96
576,Al-Si,96
577,Al-Si,96
578,Al-Si,96
579,Al-Si,96
580,Al-Si,96
581,Al-Si,96
582,Al-Si,96
583,Al-Si,96
584,Al-Si,96
585,Al-Si,96
586,Al-Si,96
587,Al-Si,96
588,Al-Si,96
589,Al-Si,96
590,Al-Si,96
591,Al-Si,96
592,Al-Si,96
593,Al-Si,96
594,Al-Si,96
595,Al-Si,96
596,Al-Si,96
597,Al-Si,96
598,Al-Si,96
599,Al-Si,96
600,Al-Si,96
601,Al-Si,96
602,Al-Si,96
603,Al-Si,96
604,Al-Si,96
605,Al-Si,96
606,Al-Si,96
607,Al-Si,96
608,Al-Si,96
609,Al-Si,96
610,Al-Si,96
611,Al-Si,96
612,Al-Si,96
613,Al-Si,96
614,Al-Si,96
615,Al-Si,96
616,Al-Si,96
617,Al-Si,96
618,Al-Si,96
619,Al-Si,96
620,Al-Si,96
621,Al-Si,96
622,Al-Si,96
623,Al-Si,96
624,Al-Si,96
625,Al-Si,96
626,Al-Si,96
627,Al-Si,96
628,Al-Si,96
629,Al-Si,96
630,Al-Si,96
631,Al-Si,96
632,Al-Si,96
633,Al-Si,96
634,Al-Si,96
635,Al-Si,96
636,Al-Si,96
637,Al-Si,96
638,Al-Si,96
639,Al-Si,96
640,Al-Si,96
641,Al-Si,96
642,Al-Si,96
643,Al-Si,96
644,Al-Si,96
645,Al-Si,96
646,Al-Si,96
647,Al-Si,96
648,Al-Si,96
649,Al-Si,96
650,Al-Si,96
651,Al-Si,96
652,Al-Si,96
653,Al-Si,96
654,Al-Si,96
655,Al-Si,96
656,Al-Si,96
657,Al-Si,96
658,Al-Si,96
659,Al-Si,96
660,Al-Si,96
661,Al-Si,96
662,Al-Si,96
663,Al-Si,96
664,Al-Si,96
665,Al-Si,96
666,Al-Si,96
667,Al-Si,96
668,Al-Si,96
669,Al-Si,96
670,Al-Si,96
671,Al-Si,96
672,Al-Si,96
673,Al-Si,96
674,Al-Si,96
675,Al-Si,96
676,Al-Si,96
677,Al-Si,96
678,Al-Si,96
679,Al-Si,96
680,Al-Si,96
681,Al-Si,96
682,Al-Si,96
683,Al-Si,96
684,Al-Si,96
685,Al-Si,96
