result_position,bridge_signature,rule_id,edge_count
262,Al-O-Si,T-O-T,96
263,Al-O-Si,T-O-T,96
264,Al-O-Si,T-O-T,96
265,Al-O-Si,T-O-T,96
266,Al-O-Si,T-O-T,96
267,Al-O-Si,T-O-T,96
268,Al-O-Si,T-O-T,96
269,Al-O-Si,T-O-T,96
270,Al-O-Si,T-O-T,96
271,Al-O-Si,T-O-T,96
272,Al-O-Si,T-O-T,96
273,Al-O-Si,T-O-T,96
274,Al-O-Si,T-O-T,96
275,Al-O-Si,T-O-T,96
276,Al-O-Si,T-O-T,96
277,Al-O-Si,T-O-T,96
278,Al-O-Si,T-O-T,96
279,Al-O-Si,T-O-T,96
280,Al-O-Si,T-O-T,96
281,Al-O-Si,T-O-T,96
282,Al-O-Si,T-O-T,96
283,Al-O-Si,T-O-T,96
284,Al-O-Si,T-O-T,96
285,Al-O-Si,T-O-T,96
286,Al-O-Si,T-O-T,96
287,Al-O-Si,T-O-T,96
288,Al-O-Si,T-O-T,96
289,Al-O-Si,T-O-T,96
290,Al-O-Si,T-O-T,96
291,Al-O-Si,T-O-T,96
292,Al-O-Si,T-O-T,96
293,Al-O-Si,T-O-T,96
294,Al-O-Si,T-O-T,96
295,Al-O-Si,T-O-T,96
296,Al-O-Si,T-O-T,96
297,Al-O-Si,T-O-T,96
298,Al-O-Si,T-O-T,96
299,Al-O-Si,T-O-T,96
300,Al-O-Si,T-O-T,96
301,Al-O-Si,T-O-T,96
302,Al-O-Si,T-O-T,96
303,Al-O-Si,T-O-T,96
304,Al-O-Si,T-O-T,96
305,Al-O-Si,T-O-T,96
306,Al-O-Si,T-O-T,96
307,Al-O-Si,T-O-T,96
308,Al-O-Si,T-O-T,96
309,Al-O-Si,T-O-T,96
310,Al-O-Si,T-O-T,96
311,Al-O-Si,T-O-T,96
312,Al-O-Si,T-O-T,96
313,Al-O-Si,T-O-T,96
314,Al-O-Si,T-O-T,96
315,Al-O-Si,T-O-T,96
316,Al-O-Si,T-O-T,96
317,Al-O-Si,T-O-T,96
318,Al-O-Si,T-O-T,96
319,Al-O-Si,T-O-T,96
320,Al-O-Si,T-O-T,96
321,Al-O-Si,T-O-T,96
322,Al-O-Si,T-O-T,96
323,Al-O-Si,T-O-T,96
324,Al-O-Si,T-O-T,96
325,Al-O-Si,T-O-T,96
326,Al-O-Si,T-O-T,96
327,Al-O-Si,T-O-T,96
328,Al-O-Si,T-O-T,96
329,Al-O-Si,T-O-T,96
330,Al-O-Si,T-O-T,96
331,Al-O-Si,T-O-T,96
332,Al-O-Si,T-O-T,96
333,Al-O-Si,T-O-T,96
334,Al-O-Si,T-O-T,96
335,Al-O-Si,T-O-T,96
336,Al-O-Si,T-O-T,96
337,Al-O-Si,T-O-T,96
338,Al-O-Si,T-O-T,96
339,Al-O-Si,T-O-T,96
340,Al-O-Si,T-O-T,96
341,Al-O-Si,T-O-T,96
342,Al-O-Si,T-O-T,96
343,Al-O-Si,T-O-T,96
344,Al-O-Si,T-O-T,96
345,Al-O-Si,T-O-T,96
346,Al-O-Si,T-O-T,96
347,Al-O-Si,T-O-T,96
348,Al-O-Si,T-O-T,96
349,Al-O-Si,T-O-T,96
350,Al-O-Si,T-O-T,96
351,Al-O-Si,T-O-T,96
352,Al-O-Si,T-O-T,96
353,Al-O-Si,T-O-T,96
354,Al-O-Si,T-O-T,96
355,Al-O-Si,T-O-T,96
356,Al-O-Si,T-O-T,96
357,Al-O-Si,T-O-T,96
358,Al-O-Si,T-O-T,96
359,Al-O-Si,T-O-T,96
360,Al-O-Si,T-O-T,96
361,Al-O-Si,T-O-T,96
362,Al-O-Si,T-O-T,96
363,Al-O-Si,T-O-T,96
364,Al-O-Si,T-O-T,96
365,Al-O-Si,T-O-T,96
366,Al-O-Si,T-O-T,96
367,Al-O-Si,T-O-T,96
368,Al-O-Si,T-O-T,96
369,Al-O-Si,T-O-T,96
370,Al-O-Si,T-O-T,96
371,Al-O-Si,T-O-T,96
372,Al-O-Si,T-O-T,96
373,Al-O-Si,T-O-T,96
374,Al-O-Si,T-O-T,96
375,Al-O-Si,T-O-T,96
376,Al-O-Si,T-O-T,96
377,Al-O-Si,T-O-T,96
378,Al-O-Si,T-O-T,96
379,Al-O-Si,T-O-T,96
380,Al-O-Si,T-O-T,96
381,Al-O-Si,T-O-T,96
382,Al-O-Si,T-O-T,96
383,Al-O-Si,T-O-T,96
384,Al-O-Si,T-O-T,96
385,Al-O-Si,T-O-T,96
386,Al-O-Si,T-O-T,96
387,Al-O-Si,T-O-T,96
388,Al-O-Si,T-O-T,96
389,Al-O-Si,T-O-T,96
390,Al-O-Si,T-O-T,96
391,Al-O-Si,T-O-T,96
392,Al-O-Si,T-O-T,96
393,Al-O-Si,T-O-T,96
394,Al-O-Si,T-O-T,96
395,Al-O-Si,T-O-T,96
396,Al-O-Si,T-O-T,96
