edge_key_json,frame_count,probability
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[66],""rule_id"":""T-O-T"",""vertex_i"":18,""vertex_j"":26}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[120],""rule_id"":""T-O-T"",""vertex_i"":18,""vertex_j"":36}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[90],""rule_id"":""T-O-T"",""vertex_i"":18,""vertex_j"":42}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[136],""rule_id"":""T-O-T"",""vertex_i"":18,""vertex_j"":47}",2000,1.0
"{""image_shift"":[-1,0,1],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[121],""rule_id"":""T-O-T"",""vertex_i"":19,""vertex_j"":31}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[1,0,-1]],""internal_linker_indices"":[67],""rule_id"":""T-O-T"",""vertex_i"":19,""vertex_j"":41}",2000,1.0
"{""image_shift"":[-1,0,1],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[91],""rule_id"":""T-O-T"",""vertex_i"":19,""vertex_j"":43}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[1,0,-1]],""internal_linker_indices"":[124],""rule_id"":""T-O-T"",""vertex_i"":19,""vertex_j"":44}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[122],""rule_id"":""T-O-T"",""vertex_i"":20,""vertex_j"":33}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[68],""rule_id"":""T-O-T"",""vertex_i"":20,""vertex_j"":40}",2000,1.0
"{""image_shift"":[1,-1,0],""internal_linker_image_offsets"":[[1,-1,0]],""internal_linker_indices"":[92],""rule_id"":""T-O-T"",""vertex_i"":20,""vertex_j"":44}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[126],""rule_id"":""T-O-T"",""vertex_i"":20,""vertex_j"":45}",2000,1.0
"{""image_shift"":[-1,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[123],""rule_id"":""T-O-T"",""vertex_i"":21,""vertex_j"":32}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[1,0,0]],""internal_linker_indices"":[69],""rule_id"":""T-O-T"",""vertex_i"":21,""vertex_j"":42}",2000,1.0
"{""image_shift"":[-1,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[125],""rule_id"":""T-O-T"",""vertex_i"":21,""vertex_j"":43}",2000,1.0
"{""image_shift"":[-1,1,-1],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[93],""rule_id"":""T-O-T"",""vertex_i"":21,""vertex_j"":45}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[127],""rule_id"":""T-O-T"",""vertex_i"":22,""vertex_j"":24}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[130],""rule_id"":""T-O-T"",""vertex_i"":22,""vertex_j"":34}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[70],""rule_id"":""T-O-T"",""vertex_i"":22,""vertex_j"":38}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[94],""rule_id"":""T-O-T"",""vertex_i"":22,""vertex_j"":46}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[131],""rule_id"":""T-O-T"",""vertex_i"":23,""vertex_j"":35}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[71],""rule_id"":""T-O-T"",""vertex_i"":23,""vertex_j"":39}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[128],""rule_id"":""T-O-T"",""vertex_i"":23,""vertex_j"":46}",2000,1.0
"{""image_shift"":[0,0,0],""internal_linker_image_offsets"":[[0,0,0]],""internal_linker_indices"":[95],""rule_id"":""T-O-T"",""vertex_i"":23,""vertex_j"":47}",2000,1.0
